date,time_ist,type,slug,status,link,views_1h,comments_1h,views_6h,comments_6h,views_24h,comments_24h,views_now,comments_now,likes_now,saves_now,shares_now,avg_watch_s,views_pct_1h_to_6h,views_pct_6h_to_24h,views_pct_24h_to_now,variant,reason,commentary
18 Aug '26 (Tue),10:34 IST,carousel,tool-nanobot,published,https://www.instagram.com/p/DcK0fdZGf4o/,,,,,11,0,19,0,2,0,0,,,,73,,,underperformed — the hook likely did not stop the scroll
18 Aug '26 (Tue),14:04 IST,reel,tr-nanoclaw,published,https://www.instagram.com/reel/DcLMdL6klxS/,,,,,136,0,136,0,1,3,1,4.2,,,0,v3,,steady; 3 save(s)
18 Aug '26 (Tue),19:04 IST,reel,tr-chrome-devtools-mcp,published,https://www.instagram.com/reel/DcLuxmkDf6_/,,,,,119,0,119,0,0,1,1,3.1,,,0,v3,,steady; 1 save(s)
19 Aug '26 (Wed),10:30 IST,carousel,(carousel slot),MISSED,,,,,,,,,,,,,,,,,,missing 1 carousel · carousel: ERROR: public/ig/c-workflow-ai-web-researcher-for-sales already exists. Pass --force to overwrite.,
19 Aug '26 (Wed),14:04 IST,reel,tr-claude-plugins-official,published,https://www.instagram.com/reel/DcNxKd7Ckbe/,11,0,75,0,109,0,111,0,1,0,0,2.0,582,45,2,v3,,steady
19 Aug '26 (Wed),19:04 IST,reel,tr-ai-agent-book,published,https://www.instagram.com/reel/DcOTh7_D9Pr/,0,0,6,0,11,0,13,0,0,0,0,8.4,,83,18,v3,,underperformed — the hook likely did not stop the scroll
20 Aug '26 (Thu),10:30 IST,carousel,(carousel slot),MISSED,,,,,,,,,,,,,,,,,,missing 1 carousel · carousel: ERROR: public/ig/c-workflow-ai-web-researcher-for-sales already exists. Pass --force to overwrite. · business reel: null · tool reel: null,
20 Aug '26 (Thu),21:04 IST,reel,agent-postmortem,published,https://www.instagram.com/reel/DcRGEa7ABln/,,,,,,,8,0,1,0,0,3.0,,,,,,underperformed — the hook likely did not stop the scroll
20 Aug '26 (Thu),21:09 IST,reel,nanobot,published,https://www.instagram.com/reel/DcRGo0ZkRtE/,1,0,4,0,16,0,17,0,0,0,0,3.1,300,300,6,,,underperformed — the hook likely did not stop the scroll
21 Aug '26 (Fri),11:34 IST,carousel,skill-product-description,published,https://www.instagram.com/p/DcSpsCdEx_7/,0,0,9,0,13,1,17,1,1,0,0,,,44,31,,,1 comment(s) — the DM funnel fired; underperformed — the hook likely did not stop the scroll
21 Aug '26 (Fri),14:00 IST,reel,tr-awesome-claude-code,published,https://www.instagram.com/reel/DcS6apAj0I-/,67,0,86,0,105,1,108,1,0,0,0,1.9,28,22,3,v3,,1 comment(s) — the DM funnel fired; steady
21 Aug '26 (Fri),19:06 IST,reel,tr-voxcpm,published,https://www.instagram.com/reel/DcTdUVYlPvR/,56,0,67,1,111,1,118,1,0,2,1,5.0,20,66,6,v4,,1 comment(s) — the DM funnel fired; steady; 2 save(s)
22 Aug '26 (Sat),10:31 IST,carousel,workflow-ai-web-researcher-for-sales,published,https://www.instagram.com/p/DcVHQE2E23W/,2,1,9,1,11,1,13,1,0,0,0,,350,22,18,,,1 comment(s) — the DM funnel fired; underperformed — the hook likely did not stop the scroll
22 Aug '26 (Sat),16:31 IST,reel,tr-awesome-agent-skills,published,https://www.instagram.com/reel/DcVwX3liMAU/,6,1,65,1,107,1,108,1,0,0,1,2.4,983,65,1,v4,,1 comment(s) — the DM funnel fired; steady
22 Aug '26 (Sat),19:00 IST,reel,tr-langextract,published,https://www.instagram.com/reel/DcWBh2qjrg8/,24,1,108,1,117,1,128,1,0,0,0,3.0,350,8,9,v4,,1 comment(s) — the DM funnel fired; steady
